г.Лос-Сантос | лс ls los-santos лосантосе
г.Сан-Фиерро | сф sf san-fierro санфиеро санфиерро
г.Лас-Вентурас | лв lv las-venturas ласвентурасе
д.Palomino Creek | пк pc паломино крике polomino
д.Angel Pine | ап ap ангел эйнджел пайне пейне
д.Montgomery | монтгомери монгомери могомери
д.Blueberry | блюбури блюберу блубери блуберу блюберри блюберру блуберри блуберру
д.El Quebrados | ель куебрадосе кубрадосе
д.Las Barrancas | лас баранкасе баракандасе
д.Dillimore | дилиморе диллиморе дилеморе диллеморе
д.Bayside | бэйсаде бэйсайде
д.Fort Carson | фк fc форте карсоне форде кастоне карлсоне
д.Las Payasadas | паясадасе паядасе
о.Red County | ред кантри
о.Flint County | флинт кантри
о.Tierra Robada | тб tb тиерра робада тиера робаде тиерре тиере
о.Bone County | боун кантри
о.Whetstone | ветстоуне витстоуне витстоне
р.Mulholland | вайнвуде вайнводе виневуде виневооде vinewood winewood winewod vinewod vinevood vinevod вв ww vv vw wv
опасном районе | гето гетто гито гитто ghetto gheto geto
