Восточная | восточную восточная
Северная | северную северная
Dillimore | дилимор диллимор дилиморе диллиморе
Angel Pine | ап ap ангел пайн пайн пайне пайне
Южная | южную южная
Центральная | центральную центральная
Западная | западную западная
El Quebrados | ель куебрадос кубрадос куебрадосе кубрадосе
Flint Country | флинт кантри
Montgomery | монтгомери монгомери могомери
Tierra Robada | тб tb тиерра робада тиера робаде тиерре робаде тиере
у LVPD | лвпд полиции
в опасном районе | тащеров гето гетто гито гитто ghetto gheto geto
Горная шахта | шахте шахты шахта горную горная
Авиационная | ввс авиационную авиационная лас паясадас паядас паясадасе паядасе
Заводская | заводская завода
