Colt 45 | глок colt45 glock
SD Pistol 9mm | глушитель сайленсед сайленцед silenced sdpistol
Desert Eagle | игл дигл десерт deagle дигла дегла
Shotgun | шот шотгун шотган
Sawnoff Shotgun | обрез шавоф sawn-off shawoff shawnoff shaw-off shawn-off
Combat SG | комбат комбу
Micro Uzi | микро узи
Tec-9 | тек9 тэк9 tec9
MP-5 | мп5 мп-5 mp5
M4 | м4 м16 m4 m16
AK-47 | ак47 ak47
Country Rifle | кантри рифл ружье рифлу
Sniper Rifle | санапу санапа снапу снапа снайпу снайперку снайперское ружье снайперскую винтовку снипер сниперку сниперское ружье сниперскую винтовку
